cluster,ELA001_L1,ELA001_L2,ELA001_L3,ELA001_L4,ELA001_L5,ELA001_L6,ELA001_L7,ELA001_L8,ELA001_L9,ELA001_L10,ELA001_L11,ELA001_L12,ELA001_L13,ELA001_L14,ELA001_L15
Elachistidae_cluster6,0,0,0,0,0,0,0,0,8781,0,0,0,0,0,0
Elachistidae_cluster9,0,0,0,0,0,16440,0,0,0,0,0,0,0,0,0
Elateridae_cluster1,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0
Empididae_cluster16,0,0,0,0,0,2901,0,7533,0,0,0,0,0,0,0
Empididae_cluster56,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0
Empididae_cluster9,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomobryidae_cluster1,165575,66143,116774,56044,37213,148626,282249,162312,6027,150153,54064,233073,7986,208753,81718
Entomobryidae_cluster11,49430,21240,225,0,0,17562,48212,12569,0,5711,8140,818,185,37037,13180
Entomobryidae_cluster165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomobryidae_cluster2,33828,15607,377,0,0,800,92818,1692,5248,187,35,77495,11,68566,48700
Entomobryidae_cluster33,0,0,0,3893,6515,0,0,21557,0,0,0,0,0,0,0
Entomobryidae_cluster5,6930,10346,0,0,0,0,4635,0,4027,0,0,0,0,0,0
Entomobryidae_cluster6,115,26,0,963,0,3293,7276,6175,26443,10609,26579,73018,8187,0,0
Entomobryidae_cluster7,22555,504,0,9691,0,244,15839,231,60702,10702,58372,108875,2773,0,0
Ephydridae_cluster6,39,0,0,0,0,0,0,0,0,0,0,0,0,144,0
Eremaeidae_cluster1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eriocraniidae_cluster7,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanniidae_cluster4,0,0,0,0,0,3515,0,0,0,0,0,0,0,0,0
Fanniidae_cluster8,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0
Formicidae_cluster1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formicidae_cluster2,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0
Formicidae_cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formicidae_cluster6,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0
Formicidae_cluster7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelechiidae_cluster13,0,0,0,0,0,16350,0,0,0,0,0,0,0,0,0
Gelechiidae_cluster14,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0
Gracillariidae_cluster2,0,0,0,0,0,0,0,0,3641,0,0,0,0,0,0
Gracillariidae_cluster3,0,0,1868,4766,0,1793,0,12223,0,0,0,0,0,0,0
Gryllidae_cluster1,4302,6551,14054,12324,3791,3506,8714,14473,21291,3515,10439,26471,46179,24151,8330
Gryllidae_cluster2,2323,651,3231,18338,6177,2710,313,7737,11182,2170,1136,6945,5638,2443,1570
Halolaelapidae_cluster3,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0
Heleomyzidae_cluster1,2,6573,483,15455,203,0,0,0,0,0,0,0,0,0,2856
Heleomyzidae_cluster10,0,0,0,0,0,0,0,0,9255,0,0,0,12786,0,0
Heleomyzidae_cluster11,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0
Heleomyzidae_cluster23,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0
Heleomyzidae_cluster45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hybotidae_cluster119,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
Hybotidae_cluster98,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
Hypogastruridae_cluster2,0,0,0,0,0,0,0,0,0,2085,0,504,36,0,0
Ichneumonidae_cluster1211,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster123,0,0,0,54,483,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster125,0,0,0,7007,0,0,0,255,0,0,0,0,0,0,0
Ichneumonidae_cluster132,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster179,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster221,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster239,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
Ichneumonidae_cluster311,0,0,0,0,0,0,0,0,1254,0,0,0,0,0,0
Ichneumonidae_cluster319,0,0,660,15034,0,14,0,1182,0,0,0,0,0,0,0
Ichneumonidae_cluster332,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster441,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
Ichneumonidae_cluster512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster615,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0
Ichneumonidae_cluster64,0,0,0,0,590,0,0,267,0,0,0,0,0,0,0
Ichneumonidae_cluster656,0,13,0,143,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster73,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
Ichneumonidae_cluster743,0,0,0,4090,0,0,0,0,0,0,0,0,0,0,0
Ichneumonidae_cluster867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594
Ichneumonidae_cluster882,0,11,0,0,0,0,2704,0,0,0,0,0,0,0,0
Isotomidae_cluster8,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0
Latridiidae_cluster1,0,0,0,90,0,0,0,42,0,0,0,0,0,0,0
Latridiidae_cluster10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latridiidae_cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latridiidae_cluster2,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
Latridiidae_cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latridiidae_cluster4,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
Latridiidae_cluster7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linyphiidae_cluster112,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
Linyphiidae_cluster20,95,23,0,0,0,1195,0,0,0,0,0,0,0,0,0
Linyphiidae_cluster57,0,0,0,0,0,0,0,0,0,0,0,903,0,0,2245
Linyphiidae_cluster87,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Linyphiidae_cluster89,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Liocranidae_cluster1,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0
Lonchaeidae_cluster1,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0
Lycaenidae_cluster1,0,0,0,0,0,0,80873,0,0,0,0,0,0,0,0
Lygaeidae_cluster1,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0
Lymexylidae_cluster1,14955,26124,0,0,0,0,62649,0,0,0,0,0,0,21,0
Lyonetiidae_cluster4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyonetiidae_cluster5,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0
Lypusidae_cluster2,0,0,11900,11074,10656,0,0,0,0,0,0,0,0,0,0
Megaspilidae_cluster5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Milichiidae_cluster1,0,0,0,0,0,0,0,5444,0,0,0,0,0,0,0
Miridae_cluster1,0,0,0,0,0,8014,0,3529,0,0,0,0,0,0,0
Miridae_cluster2,0,364,0,0,0,0,0,0,0,0,0,0,107,0,0
Miridae_cluster20,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0
Miridae_cluster26,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0
Miridae_cluster35,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Miridae_cluster7,0,679,0,351,0,0,0,0,0,0,0,0,0,0,0
Monotomidae_cluster1,0,0,0,0,0,0,0,0,45,155,0,0,0,0,258
Muscidae_cluster11,0,0,0,0,0,0,0,483173,0,0,0,0,0,0,41
Muscidae_cluster122,0,0,155,576,290,0,0,0,0,0,0,0,0,88,0
Muscidae_cluster14,2457,684,222,1665,343,0,0,0,15722,0,0,0,0,0,0
Muscidae_cluster2,0,0,8242,0,20414,35898,0,0,0,0,0,0,0,0,0
Muscidae_cluster23,0,0,0,0,0,0,0,174958,0,0,0,0,0,0,0
Muscidae_cluster28,2875,16034,2087,22311,6835,3550,62343,0,22360,0,0,0,5169,21760,0
Muscidae_cluster31,0,0,0,0,0,0,0,14972,0,0,0,0,0,0,0
Muscidae_cluster39,110,110,606,10857,101,0,0,0,0,0,0,0,544,0,0
Muscidae_cluster54,430,628,1594,0,3716,0,0,7378,0,0,0,0,0,0,1216
Muscidae_cluster73,0,0,600,0,775,0,0,0,0,0,0,0,0,0,0
Mycetophagidae_cluster1,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster1,0,0,263,0,382,0,0,0,0,0,0,6965,0,0,0
Mycetophilidae_cluster103,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster11,66,0,6102,4543,1512,1147,0,1237,2501,33322,551,3838,7567,0,0
Mycetophilidae_cluster113,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0
Mycetophilidae_cluster148,0,0,0,0,0,81,0,0,0,0,0,0,0,0,91
Mycetophilidae_cluster152,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster177,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster185,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster23,135,564,3491,0,0,0,0,0,14654,10723,0,0,6258,0,0
Mycetophilidae_cluster27,164,0,3125,5440,953,915,0,494,0,0,0,0,0,0,0
Mycetophilidae_cluster270,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster284,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0
Mycetophilidae_cluster29,0,2009,0,0,0,0,176,0,0,0,0,0,0,0,0
Mycetophilidae_cluster3,0,0,0,2166,0,37702,69,9698,0,0,0,0,0,0,163
Mycetophilidae_cluster30,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae_cluster306,0,0,0,0,0,0,0,0,0,0,0,0,1624,0,0
